Slug,Name,Subtitle,Category,Description,Fabric,Customizations,Turnaround,Featured,Photo Folder,Date Added
bridal-001,Emerald Lehenga,,bridal,"A lehenga in deep emerald, crafted in-house and adorned with heavy gota work, intricate hand-embroidery, and delicate botis throughout. Heritage rendered in modern silhouette. For the bride who carries her own legacy.","Crafted in-house with heavy hand-done gota work, intricate embroidery, and botis across the lehenga, choli, and dupatta.",Color; Gota density and placement; Embroidery placement; Length; Choli silhouette,12–16 weeks,Yes,images/products/bridal-001,2026-05-07
bridal-002,Gulnar,The Heirloom,bridal,"A bridal long shirt in deep crimson, paired with a two-legged sharara and dupatta. Hand-worked throughout in resham, dabka, zardozi, cut dana, and sitare. Accompanied by a single tanka resham shawl, fully hand-embroidered — available separately. Designed today but destined to become an everlasting heirloom for you and your loved ones.","Crafted in-house. Long shirt + two-legged sharara + dupatta. Hand-work techniques include resham, dabka, zardozi, cut dana, and sitare. Companion piece: single tanka resham shawl, fully hand-embroidered, available together or separately.",Color; Embroidery placement; Hand-work density; Long shirt length; Sharara silhouette; Shawl availability,7–8 months,Yes,images/products/bridal-002,2026-05-07
bridal-003,Noor,,bridal,"A bridal long shirt in deep crimson, paired with a sharara. Hand-worked throughout in intricate detail, rooted in the traditions of Pakistani bridal craft. Rooted in heritage, designed for the modern bride, and meant to last forever.",Long shirt + sharara. Hand-embroidery and embellishment throughout.,Color; Embroidery placement; Hand-work density; Long shirt length; Sharara silhouette,5–6 months,Yes,images/products/bridal-003,2026-05-07
casual-001,Azure,,casual,"Crafted in deep navy tones and adorned with intricate floral embroidery and hand-work embellishments, paired with a farshi shalwar and a distinctive dupatta — tradition rendered in everyday silhouette. For the woman who carries craft into ordinary days.",Crafted in-house with hand-embroidery and hand-work embellishments. Paired with a farshi shalwar.,Color; Embellishment density; Length,3 weeks,Yes,images/products/casual-001,2026-05-07
casual-002,Sunheri,,casual,"A casual piece in soft gold, finished with delicate embroidery. Made for the muse who lets elegance speak softly.",Hand-embroidery throughout.,Color; Embroidery placement; Length,1–2 weeks,No,images/products/casual-002,2026-05-07
formal-001,Marigold Kameez & Izhar,,formal,"A long kameez in warm marigold — hand-embroidered with zardozi and resham, paired with izhar and a heavily worked dupatta. Traditional in silhouette, considered in craft. Made for the moments that matter.","Hand-work zardozi and resham embroidery across the kameez, izhar pants and dupatta.",Color; Embroidery density and motif; Kameez length; Dupatta finishing,8–12 weeks,Yes,images/products/formal-001,2026-05-07
formal-002,Ivory Draped Lehenga,,formal,"An ivory draped lehenga — a reimagining of the sari in cascading folds and sculpted precision. The structured blouse, finished with delicate embroidery, contrasts the effortless grace of the drape. For the woman who moves with quiet confidence.",Satin.,Color; Embroidery placement; Blouse silhouette,8–12 weeks,Yes,images/products/formal-002,2026-05-07
formal-003,Noir,,formal,"A draped lehenga in deep black, finished with delicate ivory embroidery. Fluid silhouette, statement craft.",Delicate ivory embroidery on a draped silhouette.,Color; Embroidery placement; Drape length; Blouse silhouette,3–4 weeks,No,images/products/formal-003,2026-05-14
formal-004,Wisteria,,formal,"A silk sarong in soft lilac, paired with a pleated blouse and short coat. Finished throughout with handwork.","Silk sarong, pleated blouse, short coat — finished throughout with handwork.",Color; Handwork placement; Coat length; Blouse silhouette,3–4 weeks,No,images/products/formal-004,2026-05-14
semi-formal-001,Bloom,,semi-formal,"A short shirt in soft rose, embroidered and hand-embellished with sequins and beadwork — paired with traditional Dhaka pants. Delicate craft, considered restraint. For the woman who knows that elegance is in the detail.","Embroidery, sequins, and hand-set beadwork on the short shirt. Traditional Dhaka pants.",Color; Embroidery placement; Embellishment density; Shirt length,2 weeks,No,images/products/semi-formal-001,2026-05-07
semi-formal-002,Janan,,semi-formal,"A kaftan crafted in pure raw silk, adorned with thread embroidery and hand-embellishments throughout the shirt, hem, and neckline. Quiet luxury rendered in fluid silhouette. For the woman who lets the fabric speak.","Pure raw silk with thread embroidery and hand-embellishments at the shirt, hem, and neckline.",Color; Embroidery placement; Embellishment density; Length,2–3 weeks,Yes,images/products/semi-formal-002,2026-05-07
semi-formal-003,Midnight,,semi-formal,"A kaftan in deep midnight, embroidered in threadwork and finished with hand-embellishments. Fluid silhouette, considered craft.",Thread embroidery and hand-embellishments throughout.,Color; Embroidery placement; Embellishment density; Length,2–4 weeks,No,images/products/semi-formal-003,2026-05-14
semi-formal-004,Eden,,semi-formal,"A modern piece in magenta, paired with fluid pants and adorned with silver pitta work. Modern in silhouette. Rooted in craft.",Silver pitta work throughout. Paired with fluid pants.,Color; Pitta work placement; Length; Pants silhouette,3–4 weeks,No,images/products/semi-formal-004,2026-05-19
